Administration
< 1 week,0.05
1 week - 1 month,0.06
1 - 2 months,0.03
2 - 4 months,0.08
4 - 8 months,0.36
8 - 18 months,0.12
18 months - 3 years,0.00
> 3 years,0.00
Cancer Program
< 1 week,2.27
1 week - 1 month,4.13
1 - 2 months,4.39
2 - 4 months,4.76
4 - 8 months,5.38
8 - 18 months,1.72
18 months - 3 years,0.01
> 3 years,0.00
Chemical Biology Platform
< 1 week,0.05
1 week - 1 month,0.10
1 - 2 months,0.08
2 - 4 months,1.69
4 - 8 months,0.04
8 - 18 months,0.00
18 months - 3 years,0.00
> 3 years,0.00
Chemical Biology Program
< 1 week,0.83
1 week - 1 month,1.93
1 - 2 months,1.33
2 - 4 months,2.32
4 - 8 months,4.60
8 - 18 months,2.13
18 months - 3 years,0.00
> 3 years,0.00
Computational Biology and Bioinformatics Program
< 1 week,0.00
1 week - 1 month,0.12
1 - 2 months,0.05
2 - 4 months,0.04
4 - 8 months,0.04
8 - 18 months,0.12
18 months - 3 years,0.00
> 3 years,0.00
Genetic Analysis Platform (GAP)
< 1 week,3.58
1 week - 1 month,4.85
1 - 2 months,4.61
2 - 4 months,5.72
4 - 8 months,7.25
8 - 18 months,2.21
18 months - 3 years,0.00
> 3 years,0.00
Genome Sequencing Platform
< 1 week,313.11
1 week - 1 month,288.11
1 - 2 months,230.77
2 - 4 months,199.04
4 - 8 months,91.09
8 - 18 months,28.38
18 months - 3 years,0.11
> 3 years,0.00
Genome Sequencing and Analysis Program
< 1 week,31.49
1 week - 1 month,17.70
1 - 2 months,12.14
2 - 4 months,32.98
4 - 8 months,13.61
8 - 18 months,14.54
18 months - 3 years,0.13
> 3 years,0.00
Imaging Platform
< 1 week,0.05
1 week - 1 month,0.33
1 - 2 months,0.57
2 - 4 months,4.26
4 - 8 months,7.09
8 - 18 months,3.54
18 months - 3 years,0.93
> 3 years,0.35
Infectious Disease Initiative - Malaria
< 1 week,0.00
1 week - 1 month,0.00
1 - 2 months,0.01
2 - 4 months,0.06
4 - 8 months,0.00
8 - 18 months,0.00
18 months - 3 years,0.00
> 3 years,0.00
Infectious Disease Initiative - TB
< 1 week,0.13
1 week - 1 month,0.04
1 - 2 months,0.07
2 - 4 months,0.00
4 - 8 months,0.00
8 - 18 months,0.00
18 months - 3 years,0.00
> 3 years,0.00
Lander Lab
< 1 week,0.05
1 week - 1 month,0.09
1 - 2 months,0.03
2 - 4 months,0.03
4 - 8 months,0.21
8 - 18 months,0.00
18 months - 3 years,0.00
> 3 years,0.00
Medical and Population Genetics Program
< 1 week,2.58
1 week - 1 month,4.44
1 - 2 months,4.52
2 - 4 months,8.55
4 - 8 months,8.08
8 - 18 months,5.05
18 months - 3 years,0.00
> 3 years,0.00
Metabolic Disease Initiative
< 1 week,0.05
1 week - 1 month,0.03
1 - 2 months,0.01
2 - 4 months,0.05
4 - 8 months,0.26
8 - 18 months,0.00
18 months - 3 years,0.00
> 3 years,0.00
Proteomics
< 1 week,0.28
1 week - 1 month,0.38
1 - 2 months,0.60
2 - 4 months,3.63
4 - 8 months,1.97
8 - 18 months,0.58
18 months - 3 years,0.00
> 3 years,0.00
Psychiatric Disease Program
< 1 week,0.78
1 week - 1 month,0.23
1 - 2 months,0.01
2 - 4 months,0.09
4 - 8 months,0.29
8 - 18 months,0.00
18 months - 3 years,0.00
> 3 years,0.00
RNAi Platform
< 1 week,0.03
1 week - 1 month,0.01
1 - 2 months,0.00
2 - 4 months,0.00
4 - 8 months,0.71
8 - 18 months,0.60
18 months - 3 years,0.00
> 3 years,0.00
Regev Lab
< 1 week,0.21
1 week - 1 month,0.75
1 - 2 months,0.59
2 - 4 months,0.24
4 - 8 months,0.66
8 - 18 months,0.43
18 months - 3 years,0.00
> 3 years,0.00
Administrative Computing
< 1 week,0.52
1 week - 1 month,0.37
1 - 2 months,0.30
2 - 4 months,0.16
4 - 8 months,0.05
8 - 18 months,0.08
18 months - 3 years,0.00
> 3 years,0.00
Research Computing
< 1 week,29.83
1 week - 1 month,9.60
1 - 2 months,10.95
2 - 4 months,15.59
4 - 8 months,4.30
8 - 18 months,0.50
18 months - 3 years,0.00
> 3 years,0.01
